Brand,Model,Price,RAM,Memory,Screen_size,Status,Warranty,Graphic_card,Processor Type,Alpha
Dell,Latitude,11500000.0,8,250,14,10,5,2,Intel Core i7,100
Dell,Inspiron,5000000.0,4,128,16,5,5,5,Intel Core i7,125
Dell,Latitude,15500000.0,8,256,14,5,5,2,Intel Core i5,50
Samsung,Notebook 9,8000000.0,8,256,14,5,5,2,Intel Core i7,50
HP,ProBook,14800000.0,16,256,16,5,5,5,Intel Core i7,125
Dell,Latitude,7299000.0,8,256,14,5,5,2,Intel Core i5,50
Apple,Macbook Pro Touch Bar,24500000.0,16,512,16,5,5,2,Intel Core i7,50
Hãng Khác,Dòng Khác,12500000.0,16,512,12,5,5,2,Intel Core i7,50
Dell,Inspiron,7400000.0,4,128,16,5,5,5,Intel Core i5,125
Dell,Inspiron,7700000.0,4,500,14,5,5,5,Intel Core i5,125
Apple,Macbook Air,19000000.0,16,512,12,5,5,2,Intel Core i7,50
HP,Pavilion,6700000.0,4,128,14,5,5,2,Intel Core i3,50
HP,Pavilion,6000000.0,4,128,14,5,5,2,Intel Core i3,50
Asus,Dòng Khác,14500000.0,2,64,16,5,5,5,Intel Core 2 Quad,125
Apple,Macbook Pro Touch Bar,25000000.0,8,256,14,5,5,2,Intel Core i5,50
HP,Elitebook,9500000.0,8,128,18,5,5,5,Intel Core i7,125
Dell,Latitude,22990000.0,16,512,14,10,5,2,Intel Core i7,100
Hãng Khác,Dòng Khác,20999000.0,8,128,12,5,5,2,Khác,50
Dell,Precision,14500000.0,32,500,16,5,5,5,Intel Core i7,125
Dell,Precision,6800000.0,32,500,16,5,5,5,Intel Core i7,125
Dell,Precision,14500000.0,32,500,16,5,5,5,Intel Core i7,125
Dell,Precision,6800000.0,32,500,16,5,5,5,Intel Core i7,125
Acer,Predator,39999000.0,16,512,16,10,5,5,Intel Core i7,250
Apple,Macbook Air,12000000.0,4,128,14,5,5,2,Intel Core i5,50
Dell,Latitude,7200000.0,4,128,12,5,5,2,Intel Core i7,50
Asus,VivoBook S Series,7800000.0,4,128,14,10,5,2,Intel Core i3,100
Dell,Inspiron,15000000.0,16,128,16,5,5,5,Intel Core i7,125
Lenovo,ThinkPad,11500000.0,8,256,16,5,5,5,Intel Core i7,125
Dell,Inspiron,7399000.0,4,128,14,5,5,5,Intel Core i5,125
Dell,Precision,7500000.0,8,256,16,5,5,5,Intel Core i7,125
Dell,Latitude,8500000.0,8,256,14,5,5,2,Intel Core i5,50
Dell,Precision,25000000.0,16,512,16,5,5,2,Intel Core i9,50
Dell,Latitude,12500000.0,8,256,14,5,5,2,Intel Core i5,50
Apple,Macbook Pro,8000000.0,16,750,14,5,5,2,Intel Core i7,50
Asus,ASUSPRO,5500000.0,4,64,14,5,5,5,Intel Atom,125
Asus,ASUSPRO,6500000.0,4,64,14,5,5,5,Intel Atom,125
HP,ProBook,8200000.0,8,128,16,5,5,5,Intel Core i5,125
Dell,XPS,32000000.0,16,256,16,5,5,5,Intel Core i7,125
MSI,GE Series,19000000.0,16,1024,16,5,5,5,Intel Core i7,125
Apple,Macbook Pro,8000000.0,8,128,16,5,5,5,Intel Core i7,125
Apple,Macbook Pro,14500000.0,16,500,16,5,5,5,Intel Core i7,125
Dell,Latitude,9500000.0,8,256,14,5,5,2,Intel Core i7,50
Lenovo,ThinkPad,13300000.0,8,256,14,5,5,2,Intel Core i7,50
Dell,Inspiron,7000000.0,4,500,16,5,5,5,Intel Core i5,125
Dell,Latitude,5500000.0,4,128,12,5,5,2,Intel Core i5,50
Dell,Latitude,6500000.0,4,128,12,5,1,2,Intel Core i5,10
Toshiba,Satellite Series,20000000.0,2,256,14,5,1,2,Intel Celeron,10
Asus,ROG Strix Scar,17200000.0,8,256,16,5,5,5,Intel Core i5,125
Asus,VivoBook S Series,9500000.0,4,128,14,5,5,5,Intel Core i5,125
Lenovo,Dòng Khác,8199000.0,4,128,16,5,5,5,Intel Core i5,125
Dell,Inspiron,20000000.0,8,256,16,10,5,2,Intel Core i5,100
HP,ZBook,7800000.0,4,128,14,5,5,5,Intel Core i7,125
Dell,Inspiron,11500000.0,8,256,14,10,5,5,Intel Core i5,250
Apple,Macbook Pro,24000000.0,8,256,14,5,5,5,Intel Core i5,125
Dell,Latitude,5500000.0,4,256,14,5,5,2,Intel Core i5,50
Dell,Inspiron,24000000.0,16,1024,16,10,5,5,Intel Core i7,250
Dell,Precision,15500000.0,8,256,18,5,5,5,Intel Core i7,125
Apple,Macbook Pro,9800000.0,8,256,16,5,5,5,Intel Core i7,125
Asus,ROG Strix Scar,16800000.0,16,2048,16,5,5,5,Intel Core i7,125
Asus,X series,8500000.0,8,1024,16,5,5,5,Intel Core i5,125
Dell,Latitude,12900000.0,8,256,12,10,5,2,Intel Core i5,100
Lenovo,ThinkPad,10500000.0,8,256,14,5,5,2,Intel Core i5,50
Dell,Precision,14000000.0,16,1024,16,5,5,5,Intel Core i7,125
Acer,Helios,28800000.0,16,512,16,10,5,5,Intel Core i7,250
Dell,Latitude,5950000.0,16,512,16,5,5,5,Intel Core i7,125
MSI,GP Series,13500000.0,16,1024,16,5,5,5,Intel Core i7,125
Dell,Latitude,6000000.0,4,128,12,5,5,2,Intel Core i5,50
Razer,Blade Pro,47800000.0,16,512,16,5,5,5,Intel Core i7,125
Dell,Latitude,5400000.0,8,256,12,5,5,2,Intel Core i5,50
Lenovo,ThinkPad,12500000.0,8,256,14,5,5,2,Intel Core i7,50
Dell,Inspiron,8500000.0,8,128,16,5,5,2,Intel Core i7,50
Dell,Latitude,13900000.0,8,256,14,5,5,5,Intel Core i7,125
Lenovo,Yoga,8500000.0,8,480,14,5,5,2,Intel Core i5,50
Dell,XPS,14500000.0,8,256,14,5,5,2,Intel Core i7,50
Acer,Nitro 5,16000000.0,8,256,16,10,5,5,Ryzen 7,250
Asus,VivoBook S Series,9800000.0,8,512,16,5,5,2,Intel Core i3,50
Dell,Inspiron,17800000.0,8,512,16,5,5,5,Intel Core i7,125
Dell,Latitude,6000000.0,4,128,12,5,5,2,Intel Core i7,50
Apple,Macbook Air,11500000.0,4,128,14,5,5,2,Intel Core i5,50
Dell,Dòng Khác,7200000.0,4,128,14,5,5,2,Intel Core i5,50
Hãng Khác,Dòng Khác,11700000.0,8,256,12,5,5,2,Intel Core i7,50
Dell,Latitude,8799000.0,8,256,14,5,5,2,Intel Core i7,50
Apple,Macbook Air,11900000.0,8,128,14,5,5,2,Intel Core i7,50
Dell,Latitude,6200000.0,4,128,14,5,5,2,Intel Core i5,50
HP,Envy,6900000.0,8,64,16,5,5,5,Intel Core i5,125
Apple,Macbook Pro,24000000.0,8,512,14,5,5,5,Intel Core i5,125
Apple,Macbook Air,10000000.0,4,128,14,5,5,2,Intel Core i5,50
Apple,Macbook Air,7400000.0,4,256,12,5,5,2,Intel Core i5,50
Acer,Aspire,8500000.0,4,500,16,5,5,2,Intel Core i5,50
Hãng Khác,Dòng Khác,7500000.0,4,128,12,5,5,2,Intel Core i5,50
Sony,S Series,5900000.0,4,128,16,5,5,2,Intel Core i5,50
Asus,FX Series/ZX Series,14500000.0,8,256,16,5,5,5,Intel Core i5,125
Dell,Inspiron,7400000.0,4,500,16,5,5,2,Intel Core i5,50
Dell,Latitude,7400000.0,8,256,14,5,5,2,Intel Core i5,50
Dell,Inspiron,7800000.0,4,500,16,5,5,5,Intel Core i5,125
Apple,Macbook Pro Touch Bar,20500000.0,8,128,14,5,5,2,Intel Core i5,50
Acer,Nitro 5,13300000.0,8,256,16,5,5,5,Ryzen 5,125
Dell,Precision,12800000.0,8,256,16,5,5,5,Intel Core i7,125
Dell,Precision Mobile Workstations,15500000.0,8,128,16,5,5,5,Intel Core i7,125
HP,Notebook,7500000.0,4,128,16,5,5,5,Intel Core i5,125
Apple,Macbook Air,19700000.0,8,128,14,5,5,2,Intel Core i5,50
Apple,Macbook Pro,16900000.0,8,256,14,5,5,2,Intel Core i5,50
HP,ProBook,6900000.0,4,128,14,5,5,2,Intel Core i5,50
Dell,Precision,13400000.0,8,128,16,5,5,2,Intel Core i5,50
HP,Pavilion,17000000.0,8,512,16,5,5,5,Intel Core i7,125
Toshiba,Dòng Khác,6500000.0,8,128,14,5,5,2,Intel Core i5,50
Toshiba,Dòng Khác,7900000.0,8,128,14,5,5,2,Intel Core i5,50
Dell,Inspiron,5990000.0,6,128,14,5,5,2,Intel Core i5,50
HP,Notebook,5000000.0,4,500,14,5,5,2,Intel Core i5,50
Dell,Latitude,6500000.0,4,500,14,5,5,2,Intel Core i5,50
Lenovo,ThinkPad,10899000.0,8,256,14,5,5,2,Intel Core i7,50
HP,Dòng Khác,6500000.0,4,64,14,5,5,2,Intel Core i3,50
Dell,Latitude,7777000.0,8,256,14,1,5,2,Intel Core i7,10
HP,Spectre,17000000.0,16,512,16,5,5,2,Intel Core i7,50
Dell,Inspiron,7400000.0,4,128,16,5,5,5,Intel Core i5,125
Hãng Khác,Dòng Khác,5700000.0,4,64,12,5,5,2,Intel Core i5,50
Apple,Macbook Air,21500000.0,8,256,14,10,5,2,Intel Core i3,100
LG,Gram,27000000.0,8,256,14,10,5,2,Intel Core i3,100
HP,Elitebook,7800000.0,8,256,14,5,5,2,Intel Core i5,50
Dell,Latitude,6600000.0,4,128,14,5,5,5,Intel Core i5,125
Lenovo,IdeaPad,7500000.0,8,1024,14,5,5,2,Intel Core i5,50
Asus,VivoBook S Series,13600000.0,8,512,14,10,5,2,Intel Core i5,100
Asus,X series,10000000.0,4,250,16,5,5,5,Intel Core i7,125
Asus,VivoBook S Series,10500000.0,4,1024,16,10,5,2,Intel Core i5,100
Asus,VivoBook S Series,5500000.0,4,1024,14,5,5,2,Intel Core i3,50
Dell,Precision,12700000.0,8,128,16,5,5,5,Intel Core i7,125
Dell,Latitude,5500000.0,4,128,12,5,5,2,Intel Core i5,50
Asus,Zenbook Series,24500000.0,8,256,14,10,5,5,Intel Core i5,250
Dell,Latitude,8000000.0,8,256,14,5,5,2,Intel Core i5,50
Hãng Khác,Dòng Khác,12900000.0,8,256,14,5,5,2,Intel Core i5,50
Razer,Blade Stealth,26500000.0,16,256,14,5,5,2,Intel Core i7,50
Acer,Aspire,7000000.0,16,256,14,10,5,2,Intel Core i7,100
Acer,Aspire,6200000.0,4,500,16,5,5,5,Intel Core i3,125
Dell,Precision,9800000.0,8,500,16,5,5,5,Intel Core i7,125
Toshiba,Tecra Series,5300000.0,4,128,14,5,5,2,Intel Core i5,50
HP,ProBook,6500000.0,4,500,16,5,5,2,Intel Core i3,50
Apple,Macbook Air,10500000.0,6,128,14,5,5,2,Intel Core i5,50
Lenovo,ThinkPad,10500000.0,16,256,14,5,5,2,Intel Core i7,50
Dell,XPS,14800000.0,8,256,14,5,5,2,Intel Core i7,50
Lenovo,ThinkPad,10900000.0,8,256,14,10,5,2,Intel Core i7,100
Asus,K series,5200000.0,8,256,14,10,5,2,Intel Core i7,100
Lenovo,ThinkPad,7000000.0,8,512,14,5,5,2,Intel Core i7,50
Asus,U series,16500000.0,16,256,16,10,5,5,Intel Core i7,250
Asus,U series,6500000.0,16,256,16,5,5,5,Intel Core i7,125
Dell,Inspiron,5400000.0,8,250,16,5,5,5,Intel Core i5,125
Dell,Latitude,14850000.0,8,256,14,5,5,2,Intel Core i5,50
Asus,G series,13500000.0,16,1024,18,5,5,5,Intel Core i7,125
Asus,Dòng Khác,7500000.0,4,1024,16,5,5,5,Intel Core i7,125
Apple,Macbook Pro,6500000.0,8,500,14,5,5,2,Intel Core i5,50
Dell,Vostro,5000000.0,4,256,16,5,5,2,Intel Core i5,50
Dell,Latitude,8200000.0,8,256,16,5,5,2,Intel Core i5,50
Apple,Macbook Pro Touch Bar,26000000.0,16,256,16,5,5,5,Intel Core i7,125
Dell,Inspiron,7700000.0,4,256,16,10,5,2,Intel Core i3,100
Acer,Aspire,5000000.0,4,128,14,5,5,2,Intel Core i3,50
Asus,FX Series/ZX Series,17990000.0,8,256,16,5,5,5,Ryzen 5,125
Dell,Latitude,5990000.0,4,128,14,5,5,2,Intel Core i5,50
Dell,Dòng Khác,23490000.0,8,256,14,5,5,2,Intel Core i5,50
Asus,Zenbook Series,10800000.0,8,250,14,5,5,5,Intel Core i5,125
Hãng Khác,Dòng Khác,15500000.0,8,128,12,10,5,2,Intel Core i5,100
Dell,Latitude,7200000.0,8,128,16,5,5,2,Intel Core i5,50
Dell,Precision,45900000.0,64,2048,16,5,5,5,Intel Core i9,125
Dell,Latitude,5500000.0,4,320,14,5,5,2,Intel Core i5,50
Dell,Vostro,7700000.0,4,500,14,5,5,5,Intel Core i7,125
Dell,Precision,13400000.0,16,256,16,10,5,5,Intel Core i7,250
Dell,Inspiron,9700000.0,8,1024,14,5,5,5,Intel Core i7,125
Asus,Zenbook Series,13500000.0,16,256,14,5,5,5,Intel Core i7,125
Lenovo,Legion Y Series,28000000.0,16,1024,16,10,5,2,Intel Core i7,100
Lenovo,Legion Y Series,7900000.0,16,1024,16,5,5,2,Intel Core i7,50
Asus,ASUSPRO,5800000.0,2,250,16,5,5,2,Intel Core i7,50
Dell,Latitude,5500000.0,4,64,12,5,5,2,Intel Core i5,50
Dell,Latitude,5500000.0,4,128,12,5,5,2,Intel Core i5,50
Dell,Vostro,6000000.0,4,64,14,5,5,2,Intel Core i5,50
Acer,Aspire,15000000.0,8,512,16,10,5,2,Intel Core i5,100
Dell,Inspiron,14490000.0,8,128,16,5,5,5,Intel Core i7,125
Dell,Latitude,5000000.0,4,128,14,5,5,2,Intel Core i5,50
Dell,Latitude,6500000.0,4,128,14,5,5,2,Intel Core i5,50
HP,ProBook,6400000.0,8,128,14,5,5,2,Intel Core i7,50
Apple,Macbook Air,12500000.0,8,256,12,5,5,2,Khác,50
Dell,Inspiron,12500000.0,4,128,16,5,5,5,Intel Core i5,125
Apple,Macbook Air,22500000.0,16,512,14,5,5,2,Intel Core i5,50
HP,Elitebook,5500000.0,4,128,16,5,5,2,Intel Core i5,50
Apple,Macbook Pro,19500000.0,8,128,14,5,5,2,Intel Core i5,50
Dell,Latitude,5300000.0,4,128,14,5,5,2,Intel Core i7,50
Apple,Macbook Air,14900000.0,8,128,14,5,5,2,Intel Core i5,50
HP,Pavilion,6500000.0,4,500,12,5,5,2,Intel Core i3,50
Dell,Inspiron,5100000.0,2,500,14,5,5,2,Intel Core i5,50
Dell,Latitude,6900000.0,4,500,14,5,5,5,Intel Core i5,125
Hãng Khác,Dòng Khác,9500000.0,8,256,14,5,5,2,Intel Core i5,50
Dell,XPS,10900000.0,8,256,14,5,5,2,Intel Core i5,50
Dell,Latitude,9500000.0,8,256,14,10,5,2,Intel Core i5,100
Dell,Precision,8500000.0,16,128,16,5,5,5,Intel Core i7,125
Dell,Latitude,7500000.0,8,256,12,5,5,2,Intel Core i5,50
Apple,Macbook Pro,6600000.0,4,750,14,5,5,2,Intel Core i7,50
Dell,Latitude,6200000.0,4,256,14,5,5,2,Intel Core i3,50
Dell,Latitude,5500000.0,4,128,12,5,5,2,Intel Core i5,50
Asus,VivoBook S Series,6500000.0,4,1024,16,5,5,2,Intel Core i3,50
Dell,Latitude,5900000.0,4,128,16,5,5,2,Intel Core i5,50
Lenovo,IdeaPad,7200000.0,4,128,16,5,5,2,Intel Core i5,50
HP,Notebook,5600000.0,8,1024,18,5,5,2,Intel Pentium,50
Asus,G series,10800000.0,8,2048,16,5,5,5,Intel Core i5,125
Dell,Vostro,6800000.0,4,500,14,5,5,5,Intel Core i5,125
Lenovo,ThinkPad,23900000.0,8,256,14,10,5,2,Ryzen 7,100
Dell,Inspiron,7400000.0,4,500,16,5,5,5,Intel Core i5,125
Acer,Aspire,9600000.0,8,256,16,5,5,2,Intel Core i5,50
Asus,Dòng Khác,8500000.0,4,500,16,10,5,2,AMD,100
Dell,Inspiron,139000000.0,8,1024,16,5,5,5,Intel Core i7,125
MSI,GP Series,14500000.0,8,128,16,5,5,5,Intel Core i7,125
Dell,Precision,22800000.0,32,1024,18,5,5,5,Intel Core i7,125
Dell,Latitude,8000000.0,4,320,16,5,5,2,Intel Core i5,50
Dell,Vostro,6200000.0,4,128,16,5,5,5,Intel Core i3,125
Dell,Latitude,5700000.0,8,256,16,5,5,5,Intel Core i7,125
Asus,VivoBook S Series,13000000.0,8,1024,16,5,5,5,Intel Core i7,125
HP,Elitebook,12000000.0,16,500,18,5,5,5,Intel Core i7,125
HP,ProBook,16300000.0,8,256,14,10,5,2,Intel Core i5,100
Dell,Inspiron,13500000.0,8,128,16,5,5,5,Intel Core i5,125
Dell,XPS,14990000.0,8,256,14,5,5,2,Intel Core i5,50
Apple,Macbook Pro,12300000.0,8,128,14,5,5,2,Intel Core i5,50
HP,Pavilion,6500000.0,4,250,14,5,5,2,Intel Core i3,50
Acer,Aspire,8500000.0,4,256,16,5,5,2,Intel Core i3,50
Lenovo,ThinkPad,8500000.0,8,256,14,5,5,2,Intel Core i5,50
Apple,Macbook Air,9500000.0,8,128,16,5,5,2,Khác,50
HP,Notebook,7700000.0,16,2048,16,5,5,2,Intel Core i5,50
Dell,Latitude,7000000.0,8,256,12,5,5,2,Intel Core i7,50
Dell,Latitude,10900000.0,8,128,12,5,5,2,Intel Core i5,50
HP,Elitebook,5500000.0,4,128,14,5,5,2,Intel Core i5,50
Hãng Khác,Dòng Khác,5500000.0,4,128,16,5,5,2,Intel Core i5,50
Dell,Vostro,15000000.0,8,256,16,10,5,5,Intel Core i7,250
Apple,Macbook Air,21500000.0,8,256,14,5,5,2,Intel Core i3,50
Dell,Inspiron,6900000.0,4,500,16,10,5,5,Intel Core i5,250
Apple,Macbook Pro,12500000.0,8,256,14,5,5,5,Intel Core i7,125
Acer,Aspire,5100000.0,4,128,16,5,5,2,Intel Core i3,50
Asus,K series,5600000.0,8,250,16,5,5,5,Intel Core i3,125
Apple,Macbook Pro Touch Bar,25750000.0,8,512,14,5,5,5,Intel Core i5,125
Dell,Inspiron,13500000.0,16,2048,14,5,5,5,Intel Core i7,125
Acer,Aspire,6500000.0,8,128,16,5,5,2,Intel Core i5,50
Acer,Aspire,9600000.0,8,256,16,5,5,2,Intel Core i5,50
Apple,Macbook Pro,16500000.0,16,750,16,5,5,5,Intel Core i7,125
HP,Elitebook,7500000.0,8,256,14,5,5,5,Intel Core i5,125
Dell,Inspiron,14690000.0,8,128,14,5,5,5,Intel Core i7,125
HP,Envy,12500000.0,8,256,14,5,5,2,Intel Core i5,50
Dell,Inspiron,9700000.0,8,256,14,5,5,5,Intel Core i5,125
Dell,Precision,20700000.0,16,128,16,5,5,5,Intel Core i7,125
Dell,Latitude,9500000.0,8,128,12,5,5,2,Intel Core i7,50
Asus,VivoBook S Series,7500000.0,4,250,16,5,5,2,Intel Core i5,50
Apple,Macbook Pro,22500000.0,16,512,14,5,5,2,Intel Core i5,50
Apple,Macbook Air,6800000.0,8,128,12,5,5,2,Intel Core i5,50
HP,Envy,27000000.0,16,512,14,5,5,5,Intel Core i7,125
HP,Elitebook,6500000.0,4,64,14,5,5,2,Intel Core i5,50
HP,Elitebook,7200000.0,8,256,12,5,5,2,Intel Core i5,50
HP,Pavilion,5500000.0,4,128,14,5,5,2,Intel Core i3,50
HP,Dòng Khác,5000000.0,4,128,14,5,5,2,Intel Core i3,50
HP,ZBook,14599000.0,8,256,18,5,5,2,Intel Core i7,50
Apple,Macbook Air,8000000.0,8,256,14,5,5,2,Intel Core i5,50
Dell,Inspiron,11000000.0,8,128,16,5,5,5,Intel Core i5,125
HP,Elitebook,7200000.0,8,250,16,5,5,5,Intel Core i7,125
Apple,Macbook Pro Touch Bar,25000000.0,8,256,14,5,5,5,Intel Core i5,125
Apple,Macbook Air,7500000.0,4,128,12,5,5,2,Intel Core i5,50
Hãng Khác,Dòng Khác,11990000.0,8,128,16,5,5,5,Intel Core i5,125
Dell,Vostro,10900000.0,8,64,14,5,5,2,Intel Core i5,50
Lenovo,Yoga,26900000.0,16,512,14,10,5,2,Intel Core i7,100
Sony,S Series,6000000.0,4,128,14,10,5,5,Intel Core i7,250
Apple,Macbook Pro Touch Bar,40000000.0,16,512,16,5,5,5,AMD,125
Dell,Vostro,8200000.0,8,500,14,5,5,2,Intel Core i5,50
Apple,Macbook Air,5000000.0,4,500,16,5,5,2,Intel Core i3,50
HP,ProBook,5200000.0,4,128,16,5,5,2,Intel Core i7,50
Acer,Aspire,7500000.0,8,512,16,5,5,5,Ryzen 3,125
Lenovo,IdeaPad,5700000.0,8,250,16,5,5,5,Intel Core i5,125
Dell,Latitude,7600000.0,8,256,14,5,5,2,Intel Core i5,50
MSI,GF Series,25500000.0,16,512,16,10,5,5,Intel Core i7,250
Asus,Dòng Khác,7800000.0,8,480,20,5,5,2,Intel Core i5,50
Dell,Latitude,12500000.0,8,256,14,5,5,2,Intel Core i7,50
Apple,Macbook Pro,24000000.0,8,128,14,5,5,2,Intel Core i5,50
Asus,A series,8700000.0,8,128,14,5,5,2,Intel Core i5,50
Apple,Macbook Pro,7000000.0,4,512,14,5,5,2,Intel Core i5,50
Asus,X series,5450000.0,4,128,16,5,5,5,Intel Core i5,125
Dell,Precision,21800000.0,16,512,16,5,5,5,Intel Core i7,125
Dell,Latitude,9100000.0,8,256,14,5,5,2,Intel Core i7,50
Acer,Swift,13000000.0,8,256,16,5,5,5,Intel Core i5,125
Dell,Latitude,14500000.0,4,128,14,5,5,2,Intel Core i5,50
Apple,Macbook Air,19900000.0,8,256,14,5,5,2,Intel Core i3,50
Hãng Khác,Dòng Khác,15500000.0,8,256,12,5,5,2,Intel Core i5,50
Hãng Khác,Dòng Khác,16500000.0,8,256,14,5,5,5,Intel Core i7,125
Lenovo,Legion Y Series,9500000.0,8,128,16,5,5,5,Intel Core i5,125
Dell,Latitude,8000000.0,8,256,14,5,5,2,Intel Core i7,50
Lenovo,ThinkPad,29000000.0,16,256,14,5,5,2,Intel Core i7,50
HP,Envy,12000000.0,8,256,14,5,5,2,Intel Core i7,50
Apple,Macbook Pro,22000000.0,8,256,14,5,5,2,Intel Core i5,50
Apple,Macbook Air,10000000.0,4,128,14,5,5,2,Intel Core i5,50
HP,Pavilion,9300000.0,4,1024,14,10,5,2,Intel Core i5,100
Dell,Inspiron,19500000.0,8,128,16,5,5,5,Intel Core i7,125
Lenovo,Dòng Khác,5900000.0,8,256,16,5,5,5,Intel Core i7,125
Toshiba,Satellite Series,6500000.0,4,128,16,5,5,2,Intel Core i5,50
Dell,Latitude,5000000.0,4,320,14,5,5,2,Intel Core i5,50
HP,Dòng Khác,6500000.0,4,640,16,5,5,2,Intel Core i7,50
Dell,Alienware,7000000.0,16,64,14,1,5,5,Intel Core i7,25
HP,ProBook,6800000.0,8,128,16,5,5,2,Intel Core i5,50
Asus,X series,6500000.0,8,128,16,5,5,5,Intel Core i7,125
Lenovo,ThinkPad,5800000.0,4,128,12,5,5,2,Intel Core i5,50
Dell,Inspiron,6000000.0,4,500,16,5,5,5,Intel Core i5,125
Apple,Macbook Pro Touch Bar,30800000.0,16,256,16,5,5,5,Intel Core i7,125
Razer,Blade Stealth,29000000.0,16,512,14,5,5,5,Intel Core i7,125
Dell,XPS,6900000.0,8,128,14,5,5,2,Intel Core i7,50
Dell,Inspiron,11999000.0,4,128,16,5,5,2,Intel Core i5,50
Dell,Latitude,6900000.0,8,256,14,5,5,2,Intel Core i3,50
Dell,Latitude,9000000.0,8,128,16,5,5,5,Intel Core i7,125
HP,Notebook,5000000.0,4,500,16,1,5,5,Intel Core i5,25
Apple,Macbook Air,10000000.0,4,256,12,5,5,2,Intel Core i5,50
Lenovo,ThinkPad,9500000.0,8,256,14,5,5,2,Intel Core i5,50
Apple,Macbook Pro,27000000.0,8,256,14,5,5,2,Intel Core i5,50
Dell,Inspiron,6500000.0,4,1024,14,10,5,2,Intel Core i5,100
Dell,Latitude,13900000.0,8,256,16,5,5,5,Intel Core i7,125
HP,Pavilion,5300000.0,4,250,16,5,5,2,Intel Core i3,50
Apple,Macbook Air,19500000.0,8,128,14,5,5,2,Intel Core i5,50
Apple,Macbook Pro,10000000.0,8,250,16,5,5,5,Intel Core i7,125
Dell,Inspiron,6000000.0,4,128,16,5,5,5,Intel Core i3,125
Dell,Latitude,8500000.0,4,128,16,10,5,5,Intel Core i5,250
Dell,Latitude,9700000.0,8,256,12,5,5,2,Intel Core i7,50
Apple,Macbook Pro Touch Bar,26000000.0,8,512,14,5,5,2,Intel Core i5,50
Lenovo,Yoga,17000000.0,16,512,16,5,5,5,Intel Core i7,125
Dell,Precision,12000000.0,4,500,12,5,5,2,Intel Core i5,50
Hãng Khác,Dòng Khác,16800000.0,8,128,12,5,5,2,Intel Core i5,50
Dell,Vostro,6200000.0,4,128,14,5,5,2,Intel Core i5,50
HP,ZBook,22000000.0,16,64,18,5,5,5,Intel Core i7,125
Asus,X series,9200000.0,4,512,14,5,5,2,Intel Core i3,50
Dell,Latitude,5200000.0,4,128,12,5,5,2,Intel Core i5,50
Asus,G series,12500000.0,8,2048,16,5,5,5,Intel Core i7,125
Hãng Khác,Dòng Khác,5200000.0,4,256,14,10,5,2,Intel Pentium,100
Dell,Latitude,7000000.0,4,64,14,10,5,5,Intel Core i5,250
HP,Spectre,21990000.0,16,512,16,5,5,5,Intel Core i7,125
Acer,Aspire,15000000.0,16,256,16,5,5,5,AMD,125
